Start,Time From,End, Time To ,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
11/29/2020,11:22PM,11/30/2020,6:02AM,351,49,37,400,85,202,64
11/28/2020,11:16PM,11/29/2020,6:40AM,385,59,28,444,69,226,90
11/27/2020,11:10PM,11/28/2020,8:07AM,465,72,33,537,78,307,80
11/27/2020,12:56AM,11/27/2020,4:37AM,200,21,11,221,29,127,44
11/26/2020,1:01AM,11/26/2020,8:09AM,378,50,28,428,101,204,73
11/24/2020,11:31PM,11/25/2020,5:48AM,340,37,18,377,103,172,65
11/23/2020,12:56AM,11/23/2020,7:30AM,344,50,32,394,69,213,62
11/22/2020,12:24AM,11/22/2020,9:46AM,471,91,37,562,88,270,113
11/21/2020,12:40AM,11/21/2020,7:00AM,332,48,33,380,51,222,59
11/20/2020,1:10AM,11/20/2020,7:55AM,343,62,33,405,26,237,80
11/19/2020,1:50AM,11/19/2020,5:49AM,201,38,12,239,15,156,30
11/17/2020,11:55PM,11/18/2020,9:40AM,491,94,31,585,103,264,124
11/16/2020,11:21PM,11/17/2020,6:02AM,360,41,17,401,50,227,83
11/16/2020,12:51AM,11/16/2020,6:02AM,270,40,22,310,51,163,56
11/14/2020,11:39PM,11/15/2020,8:59AM,472,88,33,560,74,301,97
11/13/2020,11:00PM,11/14/2020,7:00AM,480,0,0,480,N/A,N/A,N/A
12/31/2020,2:50AM,12/31/2020,10:02AM,395,37,31,432,109,234,52
12/30/2020,1:20AM,12/30/2020,6:19AM,262,37,20,299,43,161,58
12/28/2020,11:21PM,12/29/2020,6:00AM,354,45,33,399,55,213,86
12/28/2020,1:40AM,12/28/2020,6:08AM,231,37,13,268,10,176,45
12/26/2020,1:00AM,12/26/2020,9:17AM,436,61,27,497,91,245,100
12/25/2020,12:12AM,12/25/2020,8:08AM,418,58,31,476,82,269,67
12/24/2020,1:08AM,12/24/2020,10:36AM,467,101,36,568,82,281,104
12/23/2020,12:15AM,12/23/2020,7:31AM,384,52,29,436,74,193,117
12/22/2020,12:21AM,12/22/2020,10:04AM,501,69,0,583,N/A,N/A,N/A
12/20/2020,11:40PM,12/21/2020,9:20AM,501,79,44,580,87,313,101
12/19/2020,1:10AM,12/19/2020,8:36AM,378,67,27,445,63,238,77
12/17/2020,10:58PM,12/18/2020,6:13AM,371,64,29,435,62,247,62
12/16/2020,11:46PM,12/17/2020,7:12AM,373,73,28,446,75,202,96
12/15/2020,11:49PM,12/16/2020,6:39AM,348,62,25,410,74,195,79
12/14/2020,11:48PM,12/15/2020,6:11AM,331,52,32,383,47,239,45
12/13/2020,11:09PM,12/14/2020,5:44AM,342,53,23,395,101,203,38
12/13/2020,12:23AM,12/13/2020,8:44AM,388,113,25,501,44,260,84
12/12/2020,2:25PM,12/12/2020,4:18PM,107,6,1,113,N/A,N/A,N/A
12/11/2020,1:34AM,12/11/2020,8:44AM,380,49,31,429,88,230,62
12/10/2020,4:39PM,12/10/2020,6:00PM,74,7,0,81,N/A,N/A,N/A
12/10/2020,1:25AM,12/10/2020,8:00AM,342,53,24,395,106,146,90
12/9/2020,12:09AM,12/9/2020,7:54AM,409,56,28,465,110,207,92
12/8/2020,5:09AM,12/8/2020,8:51AM,191,31,17,222,32,117,42
12/8/2020,12:01AM,12/8/2020,3:23AM,158,44,17,202,13,90,55
12/7/2020,5:10AM,12/7/2020,8:06AM,166,10,2,176,N/A,N/A,N/A
12/6/2020,11:55PM,12/7/2020,3:14AM,182,17,15,199,38,132,12
12/6/2020,12:03PM,12/6/2020,1:53PM,96,13,1,110,N/A,N/A,N/A
12/5/2020,11:49PM,12/6/2020,7:00AM,364,67,32,431,61,192,111
12/4/2020,12:28AM,12/4/2020,6:37AM,327,42,20,369,73,171,83
12/3/2020,12:16AM,12/3/2020,5:00AM,258,26,18,284,47,140,71
12/2/2020,12:09AM,12/2/2020,5:55AM,282,64,13,346,24,224,34
12/1/2020,12:12AM,12/1/2020,5:58AM,293,53,13,346,33,213,47
1/12/2021,12:20AM,1/12/2021,6:00AM,288,52,22,340,69,151,68
1/10/2021,11:56PM,1/11/2021,6:10AM,319,55,19,374,30,206,83
1/10/2021,1:05AM,1/10/2021,9:21AM,420,76,29,496,76,244,100
1/9/2021,12:51AM,1/9/2021,10:00AM,487,62,38,549,104,295,88
1/8/2021,1:38AM,1/8/2021,7:57AM,317,61,23,378,28,222,67
1/7/2021,3:05AM,1/7/2021,10:26AM,384,57,20,441,83,222,79
1/6/2021,1:41AM,1/6/2021,8:28AM,337,70,29,407,49,201,87
1/5/2021,12:59AM,1/5/2021,7:54AM,355,60,23,415,102,167,86
1/4/2021,4:06AM,1/4/2021,8:57AM,253,38,20,291,54,153,46
1/3/2021,1:03AM,1/3/2021,8:57AM,415,59,37,474,73,238,104
1/2/2021,12:59AM,1/2/2021,7:25AM,352,34,29,386,107,152,93
1/1/2021,2:31AM,1/1/2021,9:07AM,336,60,32,396,43,202,91
